"mode","spec","tract_id","jurisd_main","access_raw","z_access","z_res_seg","z_wexp","dist_cbd_km","estimate_if_deleted","shift"
"auto","C_network","08035014300","DouglasCo_Unincorporated",120,-9.13356194832208,7.82004396348408,5.81611556544958,57.4880316265377,-0.0585119626534895,-0.0605778490094198
"auto","C_network","08035014602","DouglasCo_Unincorporated",2041,-5.23481438293626,6.87196805482746,5.44894157180789,62.2645391657548,0.00694892701718997,0.00488304066125961
"auto","C_network","08059012036","JeffCo",41116.0026816841,-1.10319875819062,4.88257848296048,0.660351393063478,32.8521181780388,0.0065105787287375,0.00444469237280715
"auto","C_network","08059012030","JeffCo",6550.56923477356,-3.63042044587129,1.52589769302733,5.39770480483941,34.9616105262043,-0.00188384654257617,-0.00394973289850653
"auto","C_network","08035014206","DouglasCo_Unincorporated",1312,-5.84278436557449,1.21144110382793,2.28718346922667,42.1311368082716,0.00601111494764628,0.00394522859171592
"auto","C_network","08005007103","ARAPAHOE",30944,-1.49424015763537,2.18015927285247,4.53907750301514,41.6122307421293,-0.00186810327069986,-0.00393398962663022
"auto","C_network","08001008402","AdamsCo_Unincorporated",4680.08957746479,-4.09302857043257,2.58863042591065,7.18141622291783,80.871182351353,-0.00107938566771376,-0.00314527202364412
"auto","C_network","08035014016","DouglasCo_Unincorporated",6305.073089701,-3.68297428097085,1.65731890066279,0.19634547900136,35.8414737009061,0.00510135045260768,0.00303546409667732
"auto","C_network","08059009847","JeffCo",25167.3012338249,-1.77853667053841,1.08888305191168,3.84295539565791,31.0524657392437,-0.000541474217091997,-0.00260736057302235
"auto","C_network","08059012026","JeffCo",15394.147925608,-2.45484638065902,2.03147274722127,4.34200030287017,29.7799299978066,-0.000471011171144065,-0.00253689752707442
"auto","D_position_net","08035014300","DouglasCo_Unincorporated",120,-9.13356194832208,7.82004396348408,5.81611556544958,57.4880316265377,0.0407632857543141,-0.0359292259422179
"auto","D_position_net","08059012036","JeffCo",41116.0026816841,-1.10319875819062,4.88257848296048,0.660351393063478,32.8521181780388,0.103792174130176,0.0270996624336441
"auto","D_position_net","08005007101","ARAPAHOE",2396.51578443878,-5.01388602139671,3.62858924705651,7.45694451745408,79.6961377133967,0.0596461786522278,-0.0170463330443043
"auto","D_position_net","08001008402","AdamsCo_Unincorporated",4680.08957746479,-4.09302857043257,2.58863042591065,7.18141622291783,80.871182351353,0.0644442071202467,-0.0122483045762853
"auto","D_position_net","08035014602","DouglasCo_Unincorporated",2041,-5.23481438293626,6.87196805482746,5.44894157180789,62.2645391657548,0.0833860350537525,0.00669352335722051
"auto","D_position_net","08035014206","DouglasCo_Unincorporated",1312,-5.84278436557449,1.21144110382793,2.28718346922667,42.1311368082716,0.0822945907660146,0.00560207906948262
"auto","D_position_net","08035014506","DouglasCo_Unincorporated",14060.5058994902,-2.57952245263596,1.94054134039701,1.22685548504405,59.9066857761157,0.0822824414003205,0.00558992970378847
"auto","D_position_net","08059060501","WESTMINSTER",70713.4385037023,-0.357160921748936,5.56881544215319,0.458284408657055,19.0522095723955,0.0820401930668182,0.00534768137028618
"auto","D_position_net","08059012030","JeffCo",6550.56923477356,-3.63042044587129,1.52589769302733,5.39770480483941,34.9616105262043,0.071753253121416,-0.00493925857511601
"auto","D_position_net","08035014404","DouglasCo_Unincorporated",3179,-4.62513889147768,1.57307929161369,4.62050432932732,58.3253777779984,0.0722544868866444,-0.00443802480988764
"auto","ACCESSxSEG","08035014300","DouglasCo_Unincorporated",120,-9.13356194832208,7.82004396348408,5.81611556544958,57.4880316265377,-0.075746623325111,-0.0631493575462363
"auto","ACCESSxSEG","08035014602","DouglasCo_Unincorporated",2041,-5.23481438293626,6.87196805482746,5.44894157180789,62.2645391657548,-0.00701706095921972,0.00558020481965493
"auto","ACCESSxSEG","08059012030","JeffCo",6550.56923477356,-3.63042044587129,1.52589769302733,5.39770480483941,34.9616105262043,-0.0163418140533869,-0.0037445482745122
"auto","ACCESSxSEG","08035014206","DouglasCo_Unincorporated",1312,-5.84278436557449,1.21144110382793,2.28718346922667,42.1311368082716,-0.0088573967663334,0.00373986901254125
"auto","ACCESSxSEG","08035014016","DouglasCo_Unincorporated",6305.073089701,-3.68297428097085,1.65731890066279,0.19634547900136,35.8414737009061,-0.00979007154937411,0.00280719422950054
"auto","ACCESSxSEG","08059009847","JeffCo",25167.3012338249,-1.77853667053841,1.08888305191168,3.84295539565791,31.0524657392437,-0.0152685905788518,-0.00267132479997717
"auto","ACCESSxSEG","08005007103","ARAPAHOE",30944,-1.49424015763537,2.18015927285247,4.53907750301514,41.6122307421293,-0.0148883961889429,-0.00229113041006823
"auto","ACCESSxSEG","08001008402","AdamsCo_Unincorporated",4680.08957746479,-4.09302857043257,2.58863042591065,7.18141622291783,80.871182351353,-0.0148480046684891,-0.00225073888961447
"auto","ACCESSxSEG","08059012026","JeffCo",15394.147925608,-2.45484638065902,2.03147274722127,4.34200030287017,29.7799299978066,-0.0147620537969232,-0.00216478801804854
"auto","ACCESSxSEG","08035013909","DouglasCo_Unincorporated",10404.6325893554,-2.99381629302859,0.842155654550998,0.603743577966922,45.5345333343688,-0.0108024987036356,0.00179476707523907
"transit","C_network","08059009846","JeffCo",52.351976284585,-4.80682694404826,2.3957298489616,3.73938003355689,28.814323267471,0.10105417203637,0.204862396426315
"transit","C_network","08031004110","DENVER",3401.26908500271,-1.99612436084222,1.40651916409997,-0.71743458891306,11.5569334745582,-0.119449113530376,-0.0156408891404313
"transit","C_network","08005980000","ARAPAHOE",9933.16153846154,-1.27442414062533,1.91755339729522,-0.580253600637402,18.6345478419425,-0.115560578441097,-0.0117523540511514
"transit","C_network","08005006854","GREENWOOD VILLAGE",10951.5641828428,-1.20869821759174,2.13677876488615,-0.942104372308517,16.6520797908128,-0.111749925090356,-0.00794170070041041
"transit","C_network","08059015900","JeffCo",61335.6226632154,-0.0485164782522376,1.85725910048203,0.215980121807661,14.8808833170057,-0.098028086459778,0.0057801379301671
"transit","C_network","08014030100","Broomfield",998.976116762494,-2.82115257762907,0.547657316056457,0.0348041096931166,20.6241951514518,-0.10948046171237,-0.00567223732242457
"transit","C_network","08059010801","Lakewood",305091,1.03178067616112,0.823841533143675,0.43258451772772,10.7303411846932,-0.109312632985981,-0.00550440859603597
"transit","C_network","08031980200","DENVER",357802,1.13909978112499,2.22945705868911,-0.257892504926234,1.07647462630759,-0.109149534206233,-0.00534130981628778
"transit","C_network","08005006864","ARAPAHOE",150935.668123634,0.55787302257606,2.95865613915068,-0.444219781496904,23.3676299729702,-0.107912344757532,-0.00410412036758648
"transit","C_network","08001008565","BRIGHTON",3279.56566376729,-2.02066136149758,-0.455610975320867,1.41337351591865,31.260527145799,-0.107767988366259,-0.00395976397631422
"transit","D_position_net","08059009846","JeffCo",52.351976284585,-4.80682694404826,2.3957298489616,3.73938003355689,28.814323267471,0.0519762866451204,0.178136986071535
"transit","D_position_net","08005006854","GREENWOOD VILLAGE",10951.5641828428,-1.20869821759174,2.13677876488615,-0.942104372308517,16.6520797908128,-0.159416595882664,-0.0332558964562496
"transit","D_position_net","08031004110","DENVER",3401.26908500271,-1.99612436084222,1.40651916409997,-0.71743458891306,11.5569334745582,-0.152628092194476,-0.0264673927680616
"transit","D_position_net","08005006864","ARAPAHOE",150935.668123634,0.55787302257606,2.95865613915068,-0.444219781496904,23.3676299729702,-0.152622525028821,-0.0264618256024064
"transit","D_position_net","08059015900","JeffCo",61335.6226632154,-0.0485164782522376,1.85725910048203,0.215980121807661,14.8808833170057,-0.100236675918078,0.0259240235083363
"transit","D_position_net","08005005634","LITTLETON",64352.3358379615,-0.0161850318438154,1.49453044715352,-0.658610645832868,20.4136580145295,-0.115359945076533,0.0108007543498816
"transit","D_position_net","08005980000","ARAPAHOE",9933.16153846154,-1.27442414062533,1.91755339729522,-0.580253600637402,18.6345478419425,-0.136046608060682,-0.00988590863426805
"transit","D_position_net","08031980200","DENVER",357802,1.13909978112499,2.22945705868911,-0.257892504926234,1.07647462630759,-0.117658851466604,0.00850184795981074
"transit","D_position_net","08059010205","Arvada",2264.98833592535,-2.26991357256839,1.26621545640174,0.692182027671884,13.5787220198184,-0.132329322645782,-0.0061686232193679
"transit","D_position_net","08059012054","JeffCo",34204.9627929452,-0.441773804050007,0.538431083343178,0.0294785226050739,17.5075695888937,-0.12085235351534,0.00530834591107446
"transit","ACCESSxSEG","08059009846","JeffCo",52.351976284585,-4.80682694404826,2.3957298489616,3.73938003355689,28.814323267471,0.0946767527355395,0.207487924629119
"transit","ACCESSxSEG","08005980000","ARAPAHOE",9933.16153846154,-1.27442414062533,1.91755339729522,-0.580253600637402,18.6345478419425,-0.122477558312925,-0.00966638641934477
"transit","ACCESSxSEG","08031004110","DENVER",3401.26908500271,-1.99612436084222,1.40651916409997,-0.71743458891306,11.5569334745582,-0.122275893744509,-0.00946472185092942
"transit","ACCESSxSEG","08005006854","GREENWOOD VILLAGE",10951.5641828428,-1.20869821759174,2.13677876488615,-0.942104372308517,16.6520797908128,-0.121257762574371,-0.00844659068079101
"transit","ACCESSxSEG","08014030100","Broomfield",998.976116762494,-2.82115257762907,0.547657316056457,0.0348041096931166,20.6241951514518,-0.117829131172258,-0.00501795927867821
"transit","ACCESSxSEG","08005006864","ARAPAHOE",150935.668123634,0.55787302257606,2.95865613915068,-0.444219781496904,23.3676299729702,-0.117389389496386,-0.00457821760280629
"transit","ACCESSxSEG","08059010801","Lakewood",305091,1.03178067616112,0.823841533143675,0.43258451772772,10.7303411846932,-0.117299466763097,-0.00448829486951752
"transit","ACCESSxSEG","08059012041","JeffCo",899.949841605069,-2.89144976203746,0.598726904616168,0.264404302861887,16.7015531688916,-0.116693293854107,-0.00388212196052763
"transit","ACCESSxSEG","08001008565","BRIGHTON",3279.56566376729,-2.02066136149758,-0.455610975320867,1.41337351591865,31.260527145799,-0.11662970191081,-0.00381853001723051
"transit","ACCESSxSEG","08031980200","DENVER",357802,1.13909978112499,2.22945705868911,-0.257892504926234,1.07647462630759,-0.116441159103472,-0.00362998720989188
