"file","row_key","column","value","r2","r3","r4"
"co_exclusionary_measure_comparison.csv","ZB_horserace_exclusionary | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","estimate",0.270317553800967,0.27,0.27,0.2703
"co_exclusionary_measure_comparison.csv","ZB_mincomm50_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","estimate",0.333207567186429,0.33,0.333,0.3332
"co_exclusionary_measure_comparison.csv","ZB_mod_college_lesshs_pct_reslow_of_res | reslow_of_res | TRUE | z_d_college_lesshs_rac_half:z_pct_reslow_of_res","estimate",0.345260262186715,0.35,0.345,0.3453
"co_exclusionary_measure_comparison.csv","ZB_mod_hisp_nonhisp_pct_reslow_of_res | reslow_of_res | TRUE | z_d_hisp_nonhisp_rac_half:z_pct_reslow_of_res","estimate",0.305751525293923,0.31,0.306,0.3058
"co_exclusionary_measure_comparison.csv","ZB_mod_whiteblack_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","estimate",0.333207567186429,0.33,0.333,0.3332
"co_exclusionary_measure_comparison.csv","ZB_nodens_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","estimate",0.344590521066259,0.34,0.345,0.3446
"co_exclusionary_measure_comparison.csv","ZB_pooled3_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","estimate",0.289066371165589,0.29,0.289,0.2891
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res | reslow_of_res | TRUE | z_res_seg_2011:z_pct_reslow_of_res","estimate",0.162969833789018,0.16,0.163,0.163
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res_rank | reslow_of_res | TRUE | z_res_seg_2011:z_pct_reslow_of_res","estimate",-0.0228400429498007,-0.02,-0.023,-0.0228
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res_wins99 | reslow_of_res | TRUE | z_res_seg_2011:z_pct_reslow_of_res","estimate",0.152763930986532,0.15,0.153,0.1528
"co_exclusionary_measure_comparison.csv","ZA_college_lesshs_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",-0.0834471385421436,-0.08,-0.083,-0.0834
"co_exclusionary_measure_comparison.csv","ZA_hisp_nonhisp_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",-0.0622566197030956,-0.06,-0.062,-0.0623
"co_exclusionary_measure_comparison.csv","ZA_joint_college_lesshs | res_low | FALSE | z_pct_res_low","estimate",-0.183876277596167,-0.18,-0.184,-0.1839
"co_exclusionary_measure_comparison.csv","ZA_joint_hisp_nonhisp | res_low | FALSE | z_pct_res_low","estimate",-0.152844392148496,-0.15,-0.153,-0.1528
"co_exclusionary_measure_comparison.csv","ZA_joint_whiteblack | res_low | FALSE | z_pct_res_low","estimate",-0.083101165400438,-0.08,-0.083,-0.0831
"co_exclusionary_measure_comparison.csv","ZA_nodens_whiteblack_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.0334464331841037,0.03,0.033,0.0334
"co_exclusionary_measure_comparison.csv","ZA_whiteblack_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",-0.0449142115790565,-0.04,-0.045,-0.0449
"co_exclusionary_measure_comparison.csv","ZB_aspatial_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.0375771800641472,0.04,0.038,0.0376
"co_exclusionary_measure_comparison.csv","ZB_cov50_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.0902028433373557,0.09,0.09,0.0902
"co_exclusionary_measure_comparison.csv","ZB_horse_race_reslow_vs_transit | res_low | FALSE | z_pct_res_low","estimate",0.0599086554218771,0.06,0.06,0.0599
"co_exclusionary_measure_comparison.csv","ZB_horserace_exclusionary | res_low | FALSE | z_pct_res_low","estimate",0.188659040610556,0.19,0.189,0.1887
"co_exclusionary_measure_comparison.csv","ZB_mincomm50_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.0904130921895147,0.09,0.09,0.0904
"co_exclusionary_measure_comparison.csv","ZB_mod_college_lesshs_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.130288543057978,0.13,0.13,0.1303
"co_exclusionary_measure_comparison.csv","ZB_mod_hisp_nonhisp_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.0805637554355643,0.08,0.081,0.0806
"co_exclusionary_measure_comparison.csv","ZB_mod_whiteblack_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.0904130921895147,0.09,0.09,0.0904
"co_exclusionary_measure_comparison.csv","ZB_nodens_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.130553833327509,0.13,0.131,0.1306
"co_exclusionary_measure_comparison.csv","ZB_pooled3_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",0.0289812845387153,0.03,0.029,0.029
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow | res_low | FALSE | z_pct_res_low","estimate",0.0168913599292534,0.02,0.017,0.0169
"co_exclusionary_measure_comparison.csv","ZD_res_seg_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",-0.0013665308714481,0,-0.001,-0.0014
"co_exclusionary_measure_comparison.csv","ZD_wexp_pct_res_low | res_low | FALSE | z_pct_res_low","estimate",-0.0856805494427819,-0.09,-0.086,-0.0857
"co_exclusionary_measure_comparison.csv","ZM_interact_eff_n_dest | res_low | FALSE | z_pct_res_low","estimate",0.207141747784643,0.21,0.207,0.2071
"co_exclusionary_measure_comparison.csv","ZM_interact_jobs_housing_ratio | res_low | FALSE | z_pct_res_low","estimate",-0.108844772892227,-0.11,-0.109,-0.1088
"co_exclusionary_measure_comparison.csv","ZM_interact_mean_dist_km | res_low | FALSE | z_pct_res_low","estimate",0.136464139384146,0.14,0.136,0.1365
"co_exclusionary_measure_comparison.csv","ZM_interact_pct_same_tract | res_low | FALSE | z_pct_res_low","estimate",-0.252181347785594,-0.25,-0.252,-0.2522
"co_exclusionary_measure_comparison.csv","ZM_zoning_eff_n_dest | res_low | FALSE | z_pct_res_low","estimate",0.0655342212251386,0.07,0.066,0.0655
"co_exclusionary_measure_comparison.csv","ZM_zoning_jobs_housing_ratio | res_low | FALSE | z_pct_res_low","estimate",-0.00040764978919823,0,0,-4e-04
