"tercile","n_tracts","jobs_per_worker","pct_work_own_jur","pct_jobs_filled_locally","pct_lowwage_jobs_imported"
1,219,3.0409647080871,33.0829913373573,28.352848263107,70.8147082831267
2,219,1.1422883108461,23.1763229501882,20.2883760928766,74.2666766864558
3,218,1.78149944303578,20.6845992898808,25.7297337176764,69.2285632348724
