"tercile","n_tracts","actual_km","minimum_km","excess_km","excess_pct"
1,219,13.4369925927188,2.02820329803894,11.4087892946799,84.9058240968446
2,219,15.4138596308194,3.89065764800969,11.5232019828097,74.7587058582622
3,218,19.2706498291047,5.69676583338037,13.5738839957244,70.4381228246052
