"year","jobs_msa","pct_jobs_within_5km_cbd","pct_jobs_in_2023_centers","jobwt_mean_cbd_km","flowwt_dest_cbd_km","pandemic_flag"
2011,1155477,18.5930139673918,20.2575213526535,14.2800389716079,14.1296356750629,FALSE
2012,1190111,18.978145735986,20.6226982189056,14.4918578989741,14.3235064775509,FALSE
2013,1218511,18.8339703129475,21.0071144207972,14.507796307269,14.3346256910268,FALSE
2014,1258960,18.7445987164008,21.6545402554489,14.5399046094911,14.3654297803654,FALSE
2015,1317134,18.7474471086465,21.5615875074214,14.5152124221056,14.3744208589038,FALSE
2016,1348695,18.7739259061537,21.5251780424781,14.4585573500144,14.2817163710328,FALSE
2017,1372778,17.8685847238228,21.7010325048915,14.7557188248788,14.615706112682,FALSE
2018,1417942,18.5734677440967,21.6742292703087,14.6960938210359,14.5386816656406,FALSE
2019,1432983,18.5391592224053,21.7882556876111,14.7072277488796,14.5462483991818,FALSE
2020,1388905,17.6144516723606,22.6134976834269,14.8503854003433,14.6757223730678,TRUE
2021,1388475,18.0897747528764,21.6647040818164,14.963812000293,14.785901959553,TRUE
2022,1486263,18.155602339559,22.9879234025203,15.0155518316255,14.8342431973989,FALSE
2023,1524491,17.3003973129392,23.3199802425859,15.2490182998313,15.1108494713675,FALSE
