"estimate","std.error","statistic","p.value","term","model_id","n_obs","pct_of_naive"
0.0722828842647489,0.0426987246831477,1.69285815445625,0.10243325227749,"z_pct_reslow_of_res","B_commute_distance_exclusionary_naive",648,NA
-0.0428367488762334,0.0149478933726508,-2.86573818854026,0.0081325281776695,"z_pct_reslow_of_res","B_commute_distance_exclusionary_position",648,-59.2626446937786
-0.424673741312329,0.0319808564129132,-13.2789984054603,4.30234285540693e-13,"z_jhr_10km","B_commute_distance_jobs_housing_ratio_naive",648,NA
0.00310340390180997,0.0250919000772319,0.12368150248717,0.902518652409177,"z_jhr_10km","B_commute_distance_jobs_housing_ratio_position",648,-0.730773673978481
0.1813363184933,0.0650736593292672,2.78663164731145,0.00981466786207804,"z_pct_reslow_of_res","B_destination_breadth_exclusionary_naive",648,NA
0.208112679521917,0.0560833823423496,3.71077261801964,0.000989348959922194,"z_pct_reslow_of_res","B_destination_breadth_exclusionary_position",648,114.766132483056
-0.122671858504238,0.0639545169102188,-1.91811093931721,0.0661421063080578,"z_jhr_10km","B_destination_breadth_jobs_housing_ratio_naive",648,NA
-0.141889236967398,0.0495948479723552,-2.86096727318307,0.00822571708628238,"z_jhr_10km","B_destination_breadth_jobs_housing_ratio_position",648,115.665678092336
0.0281224493882243,0.0269781298947818,1.04241656104057,0.306814920483817,"z_pct_reslow_of_res","B_workplace_segregation_exclusionary_naive",648,NA
-0.0448771644648464,0.0217798126192859,-2.06049359786998,0.0494885680106947,"z_pct_reslow_of_res","B_workplace_segregation_exclusionary_position",648,-159.577723281948
-0.214918668104349,0.0266315325613042,-8.0700826214045,1.50144972167793e-08,"z_jhr_10km","B_workplace_segregation_jobs_housing_ratio_naive",648,NA
0.113113674429475,0.0675011027094737,1.67573076422645,0.105777594209101,"z_jhr_10km","B_workplace_segregation_jobs_housing_ratio_position",648,-52.63092100243
