"estimate","std.error","statistic","p.value","term","model_id","n_obs","corr_with_cbd_dist"
-0.168708343466279,0.0572541976944303,-2.94665457311423,0.00669657865912325,"z_jhr_tract","A1_tract_linear",648,-0.136062943256092
33.4727728046301,NA,33.4727728046301,5.38864704653337e-08,"joint: quadratic + cubic (2 df)","A2_tract_nonlinearity",648,-0.136062943256092
-0.0504855593337404,0.0381663870320973,-1.3227754382746,0.197427332848652,"z_jhr_tract","A3_tract_vs_position",648,-0.136062943256092
0.370022787975184,0.15195259224237,2.4351199444165,0.0220533473333108,"z_dist_cbd_km","A3_tract_vs_position",648,-0.136062943256092
0.219230180815341,0.120660365324633,1.81691958436815,0.0807748534021949,"z_dist_empctr_km","A3_tract_vs_position",648,-0.136062943256092
-0.128975170786676,0.0382620966834217,-3.37083385298534,0.00235133898797856,"z_jhr_5km","A1_catch5_linear",648,-0.452574358264699
2.36757891742969,NA,2.36757891742969,0.306116521983983,"joint: quadratic + cubic (2 df)","A2_catch5_nonlinearity",648,-0.452574358264699
0.0797809859057202,0.0586525849464464,1.3602296638514,0.18543506536028,"z_jhr_5km","A3_catch5_vs_position",648,-0.452574358264699
0.362125871841481,0.153208545452263,2.3636140580312,0.025853107013207,"z_dist_cbd_km","A3_catch5_vs_position",648,-0.452574358264699
0.295594590863879,0.155128096389435,1.9054871280172,0.0678317122691916,"z_dist_empctr_km","A3_catch5_vs_position",648,-0.452574358264699
-0.214918668104349,0.0266315325613042,-8.0700826214045,1.50144972167793e-08,"z_jhr_10km","A1_catch10_linear",648,-0.63636739936587
6.43352802873418,NA,6.43352802873418,0.0400845616777369,"joint: quadratic + cubic (2 df)","A2_catch10_nonlinearity",648,-0.63636739936587
0.113113674429475,0.0675011027094737,1.67573076422645,0.105777594209101,"z_jhr_10km","A3_catch10_vs_position",648,-0.63636739936587
0.40600240333529,0.157582122790567,2.57644963873779,0.0160120969616794,"z_dist_cbd_km","A3_catch10_vs_position",648,-0.63636739936587
0.298626663310207,0.133753527023751,2.2326638403874,0.0343975250787921,"z_dist_empctr_km","A3_catch10_vs_position",648,-0.63636739936587
-0.0663056964965849,0.0253099298456993,-2.61975030752018,0.0144944719653475,"z_jhr_jurisd","A1_jurisdiction_linear",648,-0.383058011175634
2.07500577249271,NA,2.07500577249271,0.354338401421194,"joint: quadratic + cubic (2 df)","A2_jurisdiction_nonlinearity",648,-0.383058011175634
0.0284514287215044,0.0288790528327131,0.985192585307913,0.333609388757011,"z_jhr_jurisd","A3_jurisdiction_vs_position",648,-0.383058011175634
0.374861076960372,0.15186120468654,2.468445299997,0.02046417070776,"z_dist_cbd_km","A3_jurisdiction_vs_position",648,-0.383058011175634
0.244313726055845,0.116911811273932,2.08972663577509,0.0465699981142596,"z_dist_empctr_km","A3_jurisdiction_vs_position",648,-0.383058011175634
