"model_id","measure","is_interaction","term","estimate","std.error","p.value","n_obs"
"ZB_mod_hisp_nonhisp_pct_res_low","res_low",FALSE,"z_pct_res_low",0.0805637554355643,0.0362986943155468,0.035387100105042,646
"ZB_mod_whiteblack_pct_res_low","res_low",FALSE,"z_pct_res_low",0.0904130921895147,0.0414353348180473,0.038335799217267,646
"ZB_nodens_pct_res_low","res_low",FALSE,"z_pct_res_low",0.130553833327509,0.0438634518118305,0.00623249151717727,646
"ZB_pooled3_pct_res_low","res_low",FALSE,"z_pct_res_low",0.0289812845387153,0.0506080002080955,0.570641389941679,713
"ZD_persistence_reslow","res_low",FALSE,"z_pct_res_low",0.0168913599292534,0.0304137776363752,0.583378824783577,644
"ZD_res_seg_pct_res_low","res_low",FALSE,"z_pct_res_low",-0.0013665308714481,0.0439453050645419,0.975430321914705,644
"ZD_wexp_pct_res_low","res_low",FALSE,"z_pct_res_low",-0.0856805494427819,0.0384343653529466,0.0346496524410797,644
"ZM_interact_eff_n_dest","res_low",FALSE,"z_pct_res_low",0.207141747784643,0.0432619060370249,5.87985984952973e-05,646
"ZM_interact_jobs_housing_ratio","res_low",FALSE,"z_pct_res_low",-0.108844772892227,0.01880706990005,4.26716225269646e-06,646
"ZM_interact_mean_dist_km","res_low",FALSE,"z_pct_res_low",0.136464139384146,0.0485530886096368,0.00927276074095799,646
"ZM_interact_pct_same_tract","res_low",FALSE,"z_pct_res_low",-0.252181347785594,0.039635856784156,9.73015889893433e-07,646
"ZM_zoning_eff_n_dest","res_low",FALSE,"z_pct_res_low",0.0655342212251386,0.0422156374446955,0.132662953713092,648
"ZM_zoning_jobs_housing_ratio","res_low",FALSE,"z_pct_res_low",-0.000407649789198234,0.0105156569181881,0.969373099474508,648
"ZM_zoning_mean_dist_km","res_low",FALSE,"z_pct_res_low",0.00360002768120758,0.048099052964157,0.940910051935181,648
"ZM_zoning_pct_same_tract","res_low",FALSE,"z_pct_res_low",-8.70178498818125e-05,0.0394928072050212,0.998258773938125,648
"ZA_college_lesshs_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",-0.11725692186747,0.0479047942237039,0.0214401891033394,646
"ZA_hisp_nonhisp_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",-0.0741221374863645,0.0337869994781312,0.037385157152189,646
"ZA_nodens_whiteblack_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.108382309329425,0.0598102490330419,0.0815360154567433,646
"ZA_whiteblack_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",-0.0492681798808162,0.0341267528934588,0.160770726252926,646
"ZB_aspatial_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",-0.00504115380973157,0.0314523302834527,0.873899931561424,646
"ZB_cov50_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.117260370644356,0.0306184229010697,0.000662085934854807,677
"ZB_horserace_exclusionary","reslow_of_res",FALSE,"z_pct_reslow_of_res",-0.0646268772317776,0.102125822430423,0.532380394512369,646
"ZB_mincomm50_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.118758705636389,0.0305989642082184,0.000636931460496206,646
"ZB_mod_college_lesshs_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.155673986155344,0.0197432114392714,2.31850950980991e-08,646
"ZB_mod_hisp_nonhisp_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.110737146058164,0.0243293770575218,0.000109794257395336,646
"ZB_mod_whiteblack_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.118758705636389,0.0305989642082184,0.000636931460496206,646
"ZB_nodens_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.192823975239838,0.0346058892450093,7.47828076150952e-06,646
"ZB_pooled3_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.115857239171018,0.0297376717943145,0.000435857385501602,712
"ZD_persistence_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.0617137066716606,0.0278242261925774,0.0354998489730548,644
"ZD_persistence_reslow_of_res_rank","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.0703498043516667,0.0374742733028685,0.0717428982082943,644
"ZD_persistence_reslow_of_res_wins99","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.0610028137340707,0.0298462405211547,0.0512162255446769,644
"ZD_res_seg_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",0.0216453195792149,0.0297721008973034,0.473701243349329,644
"ZD_wexp_pct_reslow_of_res","reslow_of_res",FALSE,"z_pct_reslow_of_res",-0.0546900651312817,0.0331349311117179,0.110865455854146,644
