"estimate","std.error","statistic","p.value","term","conf.low","conf.high","model_id","n_obs"
-0.0449142115790565,0.0375377393685334,-1.19650816310762,0.242295506943986,"z_pct_res_low",-0.118488180741382,0.0286597575832689,"ZA_whiteblack_pct_res_low",646
-0.0371964652338604,0.0152641169347527,-2.43685667456942,0.0219677991238363,"z_pct_black_rac",-0.0671141344259757,-0.00727879604174501,"ZA_whiteblack_pct_res_low",646
0.0127871144752372,0.0396268874146729,0.322687834182567,0.749512351808178,"z_pct_lowincome_rac",-0.0648815848575217,0.0904558138079961,"ZA_whiteblack_pct_res_low",646
-0.761066126851176,0.109004120814119,-6.98199408579235,2.05590799337318e-07,"z_log_worker_density_rac",-0.97471420364685,-0.547418050055502,"ZA_whiteblack_pct_res_low",646
0.190375029660563,0.139923466976371,1.36056541318199,0.185330198833888,"z_income_percapita_k",-0.0838749656131238,0.46462502493425,"ZA_whiteblack_pct_res_low",646
-0.144554517369068,0.108804579096081,-1.32857016285516,0.195533579907381,"z_income_percapita_k_sq",-0.357811492397388,0.0687024576592511,"ZA_whiteblack_pct_res_low",646
-0.0492681798808162,0.0341267528934588,-1.44368202959795,0.160770726252926,"z_pct_reslow_of_res",-0.116156615551995,0.0176202557903631,"ZA_whiteblack_pct_reslow_of_res",646
-0.0410146543810176,0.016357185027022,-2.50743965500552,0.0187391057625034,"z_pct_black_rac",-0.0730747370339808,-0.00895457172805442,"ZA_whiteblack_pct_reslow_of_res",646
0.0129543942033175,0.0409350455938031,0.316462190658427,0.754178559760477,"z_pct_lowincome_rac",-0.0672782951605366,0.0931870835671717,"ZA_whiteblack_pct_reslow_of_res",646
-0.767049503217384,0.108043383827034,-7.09945834763332,1.5388265761863e-07,"z_log_worker_density_rac",-0.97881453551837,-0.555284470916398,"ZA_whiteblack_pct_reslow_of_res",646
0.18571948265536,0.138197152066364,1.34387344368844,0.190600138837003,"z_income_percapita_k",-0.085146935394714,0.456585900705435,"ZA_whiteblack_pct_reslow_of_res",646
-0.141854258722243,0.106932767384271,-1.32657427832649,0.196184250403106,"z_income_percapita_k_sq",-0.351442482795413,0.0677339653509271,"ZA_whiteblack_pct_reslow_of_res",646
0.0498788151145629,0.0302330963996066,1.64980835754594,0.111013263689238,"z_pct_adu_res",-0.00937805382866592,0.109135684057792,"ZA_whiteblack_pct_adu_res",642
-0.0357752280436327,0.0109167796124294,-3.27708622082106,0.00297409057064392,"z_pct_black_rac",-0.0571721160839944,-0.014378340003271,"ZA_whiteblack_pct_adu_res",642
0.0118465773781881,0.0442391236574296,0.267785082496736,0.790977732514079,"z_pct_lowincome_rac",-0.0748621049903739,0.0985552597467502,"ZA_whiteblack_pct_adu_res",642
-0.752907307750179,0.108687934420131,-6.92723908837786,2.35449551618413e-07,"z_log_worker_density_rac",-0.965935659213635,-0.539878956286723,"ZA_whiteblack_pct_adu_res",642
0.190823128129283,0.141346692082474,1.35003603775842,0.188641057609893,"z_income_percapita_k",-0.0862163883523663,0.467862644610933,"ZA_whiteblack_pct_adu_res",642
-0.141538807852663,0.106986619126587,-1.32295803912818,0.197367441673327,"z_income_percapita_k_sq",-0.351232581340774,0.0681549656354473,"ZA_whiteblack_pct_adu_res",642
0.0819528629358156,0.0478298250085204,1.71342594126607,0.0985352223194586,"z_pct_grouphome_res",-0.0117935940808844,0.175699319952516,"ZA_whiteblack_pct_grouphome_res",646
-0.0246453768681811,0.0105538205833735,-2.33520900544846,0.0275222269309292,"z_pct_black_rac",-0.0453308652115932,-0.00395988852476908,"ZA_whiteblack_pct_grouphome_res",646
0.0105170444464623,0.0394066941373914,0.26688471785516,0.791663362419297,"z_pct_lowincome_rac",-0.0667200760628248,0.0877541649557494,"ZA_whiteblack_pct_grouphome_res",646
-0.725668179955646,0.113415061671878,-6.39834047840208,8.8820485395095e-07,"z_log_worker_density_rac",-0.947961700832527,-0.503374659078765,"ZA_whiteblack_pct_grouphome_res",646
0.191608827644831,0.139301031464171,1.3755018583198,0.180711832941708,"z_income_percapita_k",-0.0814211940249436,0.464638849314606,"ZA_whiteblack_pct_grouphome_res",646
-0.142824370402019,0.110321628262617,-1.29461804227572,0.206832084066467,"z_income_percapita_k_sq",-0.359054761796748,0.0734060209927102,"ZA_whiteblack_pct_grouphome_res",646
-0.022727372357087,0.0370331153527069,-0.613704035985884,0.544743392054427,"z_zoning_entropy",-0.0953122784483926,0.0498575337342185,"ZA_whiteblack_zoning_entropy",646
-0.0251512975733768,0.0110110952001686,-2.28417765137401,0.0307698127779105,"z_pct_black_rac",-0.0467330441657073,-0.0035695509810463,"ZA_whiteblack_zoning_entropy",646
0.00599207292781867,0.04293239346182,0.139569971405099,0.890075310490517,"z_pct_lowincome_rac",-0.0781554182573486,0.0901395641129859,"ZA_whiteblack_zoning_entropy",646
-0.754110557324103,0.109977540805485,-6.8569505355451,2.80367091470202e-07,"z_log_worker_density_rac",-0.969666537302853,-0.538554577345352,"ZA_whiteblack_zoning_entropy",646
0.181956412139624,0.142488991764158,1.27698575087675,0.21289437804058,"z_income_percapita_k",-0.0973220117181252,0.461234835997374,"ZA_whiteblack_zoning_entropy",646
-0.143258202489249,0.111786167105837,-1.28153783422609,0.211316430680195,"z_income_percapita_k_sq",-0.362359090016689,0.0758426850381907,"ZA_whiteblack_zoning_entropy",646
0.00306648137669361,0.0270922604471863,0.113186619576148,0.91075204082123,"z_pct_job_zone",-0.0500343490997915,0.0561673118531787,"ZA_whiteblack_pct_job_zone",646
-0.0248797854339268,0.0134806277080403,-1.84559547023821,0.0763688532444372,"z_pct_black_rac",-0.0513018157416858,0.00154224487383212,"ZA_whiteblack_pct_job_zone",646
0.00751847779110637,0.0425669675877959,0.17662704714869,0.861170003136752,"z_pct_lowincome_rac",-0.0759127786809736,0.0909497342631864,"ZA_whiteblack_pct_job_zone",646
-0.755553240608953,0.109236455172651,-6.91667666636366,2.4169999876371e-07,"z_log_worker_density_rac",-0.969656692747348,-0.541449788470558,"ZA_whiteblack_pct_job_zone",646
0.189964767938825,0.145489413236391,1.30569478364842,0.20309207162417,"z_income_percapita_k",-0.0951944820045021,0.475124017882152,"ZA_whiteblack_pct_job_zone",646
-0.145375076712545,0.112839579643184,-1.28833408607373,0.208977236589252,"z_income_percapita_k_sq",-0.366540652813185,0.0757904993880956,"ZA_whiteblack_pct_job_zone",646
0.0309180417862121,0.0256498434685891,1.20538910204557,0.238909460383298,"z_pct_mixed_res",-0.0193556514122225,0.0811917349846467,"ZA_whiteblack_pct_mixed_res",646
-0.0332067161046803,0.0126488704237986,-2.62527126866622,0.0143109121795799,"z_pct_black_rac",-0.0579985021353255,-0.00841493007403514,"ZA_whiteblack_pct_mixed_res",646
0.00872526307192636,0.0423176201651997,0.206185107713162,0.83825237031801,"z_pct_lowincome_rac",-0.074217272451865,0.0916677985957178,"ZA_whiteblack_pct_mixed_res",646
-0.761211043398961,0.107483213300854,-7.0821388756612,1.60581114875431e-07,"z_log_worker_density_rac",-0.971878141468634,-0.550543945329288,"ZA_whiteblack_pct_mixed_res",646
0.1844980219785,0.141457540203099,1.30426431644156,0.203572111694217,"z_income_percapita_k",-0.0927587568195744,0.461754800776573,"ZA_whiteblack_pct_mixed_res",646
-0.144148655492628,0.111324821954192,-1.29484739308132,0.206754111774609,"z_income_percapita_k_sq",-0.362345306522845,0.0740479955375886,"ZA_whiteblack_pct_mixed_res",646
-0.0596933982546155,0.0341044277210559,-1.75031226862549,0.0918583833649425,"z_pct_industrial",-0.126538076587885,0.00715128007865412,"ZA_whiteblack_pct_industrial",646
-0.0229525272001463,0.0117804883535551,-1.94835107945415,0.0622432071234401,"z_pct_black_rac",-0.0460422843731143,0.000137229972821826,"ZA_whiteblack_pct_industrial",646
0.00339516274865925,0.0413442539289783,0.0821193376591462,0.935180749670944,"z_pct_lowincome_rac",-0.0776395749521382,0.0844299004494568,"ZA_whiteblack_pct_industrial",646
-0.773071975929856,0.10549373396169,-7.32813169937278,8.7978334459639e-08,"z_log_worker_density_rac",-0.979839694494768,-0.566304257364945,"ZA_whiteblack_pct_industrial",646
0.156266025847933,0.144493860706292,1.08147173232204,0.289416535442093,"z_income_percapita_k",-0.126941941136399,0.439473992832265,"ZA_whiteblack_pct_industrial",646
-0.12538669681259,0.111863843497242,-1.12088672168395,0.272582805435557,"z_income_percapita_k_sq",-0.344639830067184,0.093866436442004,"ZA_whiteblack_pct_industrial",646
0.012456334377552,0.0370267295106403,0.33641465347277,0.739258361604092,"z_pct_commercial",-0.060116055463303,0.085028724218407,"ZA_whiteblack_pct_commercial",646
-0.0236694785830091,0.0110858271889279,-2.13511163214317,0.0423420870860392,"z_pct_black_rac",-0.0453976998733078,-0.00194125729271035,"ZA_whiteblack_pct_commercial",646
0.00851167144052711,0.0442817687106886,0.192216157763197,0.849066317898868,"z_pct_lowincome_rac",-0.0782805952324225,0.0953039381134768,"ZA_whiteblack_pct_commercial",646
-0.756368909038708,0.109612940141204,-6.90036147250818,2.51688948284491e-07,"z_log_worker_density_rac",-0.971210271715468,-0.541527546361949,"ZA_whiteblack_pct_commercial",646
0.190368836376207,0.143813403054842,1.32372110201447,0.197117317294288,"z_income_percapita_k",-0.091505433611283,0.472243106363698,"ZA_whiteblack_pct_commercial",646
-0.144999359933815,0.111128998300169,-1.30478418911109,0.203397550382105,"z_income_percapita_k_sq",-0.362812196602147,0.0728134767345176,"ZA_whiteblack_pct_commercial",646
-0.083101165400438,0.0504051407667071,-1.64866448414577,0.111249201433686,"z_pct_res_low",-0.181895241303184,0.0156929105023078,"ZA_joint_whiteblack",642
0.0501778432407635,0.0279249322317682,1.79688325917152,0.0839815272114708,"z_pct_adu_res",-0.00455502393350215,0.104910710415029,"ZA_joint_whiteblack",642
-0.0567715891801864,0.0390404588622248,-1.45417320479084,0.15786453996722,"z_pct_job_zone",-0.133290888550147,0.0197477101897741,"ZA_joint_whiteblack",642
-0.0442701802393524,0.0101230749694033,-4.37319494058453,0.000175720833678016,"z_pct_black_rac",-0.0641114071793828,-0.0244289532993219,"ZA_joint_whiteblack",642
0.0164947389300721,0.0413495496865933,0.398909759721522,0.693217212867998,"z_pct_lowincome_rac",-0.0645503784556509,0.097539856315795,"ZA_joint_whiteblack",642
-0.759886932442464,0.107424870959513,-7.07365925278936,1.63968426119546e-07,"z_log_worker_density_rac",-0.970439679523111,-0.549334185361818,"ZA_joint_whiteblack",642
0.185963283890104,0.135911921676704,1.36826322220989,0.182938611694699,"z_income_percapita_k",-0.0804240825962349,0.452350650376444,"ZA_joint_whiteblack",642
-0.134217776317219,0.103987145225886,-1.29071507853846,0.208162438471423,"z_income_percapita_k_sq",-0.338032580959955,0.0695970283255162,"ZA_joint_whiteblack",642
-0.0622566197030956,0.0449936461665319,-1.38367580775004,0.17822300097255,"z_pct_res_low",-0.150444166189498,0.0259309267833069,"ZA_hisp_nonhisp_pct_res_low",646
-0.0294352207831151,0.0355955745144656,-0.826934841890332,0.415799087190681,"z_pct_black_rac",-0.0992025468314676,0.0403321052652374,"ZA_hisp_nonhisp_pct_res_low",646
0.0619247276596971,0.0466181960687019,1.32833813578796,0.19560913602498,"z_pct_lowincome_rac",-0.0294469366349586,0.153296391954353,"ZA_hisp_nonhisp_pct_res_low",646
-0.720171892605776,0.121087461923436,-5.9475347915141,2.8189277451814e-06,"z_log_worker_density_rac",-0.957503317975711,-0.482840467235841,"ZA_hisp_nonhisp_pct_res_low",646
0.135256685628277,0.19099721867374,0.708160498710307,0.485146413388492,"z_income_percapita_k",-0.239097862972253,0.509611234228808,"ZA_hisp_nonhisp_pct_res_low",646
-0.083972536028019,0.16320501531921,-0.514521786378799,0.611233506028602,"z_income_percapita_k_sq",-0.40385436605367,0.235909293997632,"ZA_hisp_nonhisp_pct_res_low",646
-0.0741221374863645,0.0337869994781312,-2.19380645311048,0.037385157152189,"z_pct_reslow_of_res",-0.140344656463502,-0.00789961850922742,"ZA_hisp_nonhisp_pct_reslow_of_res",646
-0.0367290850529226,0.0356706130264653,-1.02967350254598,0.312647410596672,"z_pct_black_rac",-0.106643486584795,0.0331853164789493,"ZA_hisp_nonhisp_pct_reslow_of_res",646
0.0628397390209934,0.0448600538434275,1.40079499771265,0.173098046416258,"z_pct_lowincome_rac",-0.0250859665121246,0.150765444554111,"ZA_hisp_nonhisp_pct_reslow_of_res",646
-0.729846030667109,0.121957506381457,-5.98442894022699,2.56285377947641e-06,"z_log_worker_density_rac",-0.968882743174765,-0.490809318159453,"ZA_hisp_nonhisp_pct_reslow_of_res",646
0.128351189343484,0.190544233473746,0.673603115683732,0.506508166769877,"z_income_percapita_k",-0.245115508265059,0.501817886952026,"ZA_hisp_nonhisp_pct_reslow_of_res",646
-0.0798595906037305,0.162451267856409,-0.491591057783055,0.627133092354416,"z_income_percapita_k_sq",-0.398264075602292,0.238544894394831,"ZA_hisp_nonhisp_pct_reslow_of_res",646
0.0135384847602762,0.0205637512294332,0.658366492048315,0.516090656002821,"z_pct_adu_res",-0.0267664676494129,0.0538434371699652,"ZA_hisp_nonhisp_pct_adu_res",642
-0.0156820298648198,0.0312472646281163,-0.501868885211446,0.619983395349373,"z_pct_black_rac",-0.0769266685359277,0.0455626088062882,"ZA_hisp_nonhisp_pct_adu_res",642
0.0539232671439331,0.0430711224010677,1.25195871706832,0.221730983866089,"z_pct_lowincome_rac",-0.0304961327621595,0.138342667050026,"ZA_hisp_nonhisp_pct_adu_res",642
-0.712162984187687,0.119553749187421,-5.95684358732448,2.75196849694415e-06,"z_log_worker_density_rac",-0.946488332595032,-0.477837635780342,"ZA_hisp_nonhisp_pct_adu_res",642
0.131157238561094,0.198121823261584,0.662002985849387,0.513794612081433,"z_income_percapita_k",-0.257161535031612,0.519476012153799,"ZA_hisp_nonhisp_pct_adu_res",642
-0.081669527857408,0.166741083912813,-0.489798470424433,0.628383925466814,"z_income_percapita_k_sq",-0.408482052326522,0.245142996611706,"ZA_hisp_nonhisp_pct_adu_res",642
0.158426605832222,0.0358361487887122,4.42086025388206,0.000154986944145922,"z_pct_grouphome_res",0.0881877542063457,0.228665457458098,"ZA_hisp_nonhisp_pct_grouphome_res",646
-0.0123348572582144,0.0296025961987451,-0.41668160371479,0.680331383071193,"z_pct_black_rac",-0.0703559458077547,0.0456862312913259,"ZA_hisp_nonhisp_pct_grouphome_res",646
0.0606026415708832,0.0487666982488988,1.24270544750796,0.225067688734043,"z_pct_lowincome_rac",-0.0349800869969583,0.156185370138725,"ZA_hisp_nonhisp_pct_grouphome_res",646
-0.654850606447836,0.091823903583255,-7.13159189376103,1.42199881421455e-07,"z_log_worker_density_rac",-0.834825457471016,-0.474875755424656,"ZA_hisp_nonhisp_pct_grouphome_res",646
0.138097569554423,0.192285578037581,0.718189949364962,0.479044643424377,"z_income_percapita_k",-0.238782163399236,0.514977302508082,"ZA_hisp_nonhisp_pct_grouphome_res",646
-0.0803944477028118,0.165486213845052,-0.485807523387335,0.631172787811018,"z_income_percapita_k_sq",-0.404747426839114,0.24395853143349,"ZA_hisp_nonhisp_pct_grouphome_res",646
0.0161301359360932,0.0309432972417229,0.52128045082228,0.60658352041846,"z_zoning_entropy",-0.0445187266576838,0.0767789985298701,"ZA_hisp_nonhisp_zoning_entropy",646
-0.0105409288271416,0.028847004834172,-0.365408086133605,0.717762784372572,"z_pct_black_rac",-0.0670810583021188,0.0459992006478355,"ZA_hisp_nonhisp_zoning_entropy",646
0.0549992022812504,0.0451580878784414,1.21792584374475,0.234189892097979,"z_pct_lowincome_rac",-0.0335106499604947,0.143509054522996,"ZA_hisp_nonhisp_zoning_entropy",646
-0.713200435960508,0.120483187794808,-5.91950170819802,3.03071237835496e-06,"z_log_worker_density_rac",-0.949347484038331,-0.477053387882685,"ZA_hisp_nonhisp_zoning_entropy",646
0.139485316776569,0.194155107408894,0.718422083446978,0.478903943387945,"z_income_percapita_k",-0.241058693744862,0.520029327298001,"ZA_hisp_nonhisp_zoning_entropy",646
-0.0857870620010552,0.165843965606076,-0.517275751864391,0.609336748760642,"z_income_percapita_k_sq",-0.410841234588964,0.239267110586854,"ZA_hisp_nonhisp_zoning_entropy",646
-0.0202877930792711,0.0273469616936519,-0.741866438639162,0.464817570558434,"z_pct_job_zone",-0.0738878379988287,0.0333122518402866,"ZA_hisp_nonhisp_pct_job_zone",646
-0.00614252096003615,0.0291260688932318,-0.210894267350425,0.834613976487878,"z_pct_black_rac",-0.0632296159907705,0.0509445740706983,"ZA_hisp_nonhisp_pct_job_zone",646
0.0519266751741749,0.0453885514851118,1.14404785954026,0.263027680289537,"z_pct_lowincome_rac",-0.0370348857366442,0.140888236084994,"ZA_hisp_nonhisp_pct_job_zone",646
-0.71117942681796,0.11999174878166,-5.92690275822247,2.97328042494607e-06,"z_log_worker_density_rac",-0.946363254430014,-0.475995599205906,"ZA_hisp_nonhisp_pct_job_zone",646
0.131303632102015,0.198747922816516,0.660654110197843,0.514645621054626,"z_income_percapita_k",-0.258242296618357,0.520849560822387,"ZA_hisp_nonhisp_pct_job_zone",646
