"construction","primary","mode","form","spec","estimate","std.error","p.value","n_obs"
"block_pop|missing",FALSE,"transit","log_wins","C_network",-0.144646314164897,0.120529468718441,0.242319895034893,488
"block_pop|missing",FALSE,"transit","log_wins","D_position_net",-0.133581519221435,0.133477639734321,0.327347361422035,488
"block_pop|missing",FALSE,"transit","log_wins","ACCESSxSEG",-0.161256493682514,0.116940547423151,0.181170570496919,488
"block_pop|missing",FALSE,"transit","log_trim","C_network",0.0420512506353432,0.0309999774254021,0.188109365159937,485
"block_pop|missing",FALSE,"transit","log_trim","D_position_net",-0.0193540254673789,0.0506330553250922,0.705791889117632,485
"block_pop|missing",FALSE,"transit","log_trim","ACCESSxSEG",0.0272704862797322,0.0312498519536932,0.391868186067298,485
"block_pop|missing",FALSE,"transit","rank","C_network",-0.0854898428506352,0.114225056440904,0.461784248724947,488
"block_pop|missing",FALSE,"transit","rank","D_position_net",0.0330898274515487,0.0618259974676887,0.597642707506814,488
"block_pop|missing",FALSE,"transit","rank","ACCESSxSEG",-0.119189998170482,0.121085059952623,0.335186131141077,488
"block_pop|missing",FALSE,"transit","log1p","C_network",-0.149868572464512,0.0767732573817739,0.0632056178478333,488
"block_pop|missing",FALSE,"transit","log1p","D_position_net",-0.217675863015164,0.0995012519535001,0.0391162917300462,488
"block_pop|missing",FALSE,"transit","log1p","ACCESSxSEG",-0.152534565270854,0.0719012122214465,0.044875211169512,488
"block_area|zero",FALSE,"auto","log","C_network",-0.00959083355495682,0.0116603973728274,0.418264668326879,646
"block_area|zero",FALSE,"auto","log","D_position_net",0.0688896388631353,0.0282563176254266,0.0219103692425171,646
"block_area|zero",FALSE,"auto","log","ACCESSxSEG",-0.0249250644800272,0.0111667935379605,0.0344415141994293,646
"block_area|zero",FALSE,"auto","log_wins","C_network",-0.0939162126333648,0.0115386636146978,1.27792943751532e-08,646
"block_area|zero",FALSE,"auto","log_wins","D_position_net",0.0219583067371376,0.041310139866746,0.599551874811862,646
"block_area|zero",FALSE,"auto","log_wins","ACCESSxSEG",-0.114473274855209,0.0165498480134377,2.41579462417727e-07,646
"block_area|zero",FALSE,"auto","log_trim","C_network",-0.0342896603959779,0.0201379688655204,0.100545119786305,641
"block_area|zero",FALSE,"auto","log_trim","D_position_net",-0.0110592627195421,0.0332943782078539,0.742426934055241,641
"block_area|zero",FALSE,"auto","log_trim","ACCESSxSEG",-0.0510880472361592,0.0152576049368969,0.00248795597394201,641
"block_area|zero",FALSE,"auto","rank","C_network",-0.189970172657489,0.0486549591372153,0.000599536427723125,646
"block_area|zero",FALSE,"auto","rank","D_position_net",-0.0279227483564477,0.0848511839272168,0.744732110191822,646
"block_area|zero",FALSE,"auto","rank","ACCESSxSEG",-0.266760980536693,0.0462891120633055,4.54759616861831e-06,646
"block_area|zero",FALSE,"auto","log1p","C_network",-0.00970912303710769,0.0116579463518296,0.412524144907562,646
"block_area|zero",FALSE,"auto","log1p","D_position_net",0.0688731280866151,0.02830460516883,0.0221441418209052,646
"block_area|zero",FALSE,"auto","log1p","ACCESSxSEG",-0.0250470192706921,0.0111699670440066,0.0336869076587231,646
"block_area|zero",FALSE,"transit","log","C_network",0.00824913277737371,0.0418179156152565,0.845354519917205,495
"block_area|zero",FALSE,"transit","log","D_position_net",0.0167271737199017,0.0392940395022096,0.674288999512727,495
"block_area|zero",FALSE,"transit","log","ACCESSxSEG",-0.0209646277719962,0.0405710202805672,0.610271778175165,495
"block_area|zero",FALSE,"transit","log_wins","C_network",-0.00298929984091639,0.0400590902194174,0.94116050193292,495
"block_area|zero",FALSE,"transit","log_wins","D_position_net",0.0296422483200604,0.0324225003722735,0.370071368357242,495
"block_area|zero",FALSE,"transit","log_wins","ACCESSxSEG",-0.0476537753445427,0.0392580260563678,0.237118829353443,495
"block_area|zero",FALSE,"transit","log_trim","C_network",0.0836159866670091,0.0270543403324154,0.00516039720599026,480
"block_area|zero",FALSE,"transit","log_trim","D_position_net",0.0413630965246466,0.036305775717019,0.266306008160167,480
"block_area|zero",FALSE,"transit","log_trim","ACCESSxSEG",0.0812692030538781,0.0263466602614833,0.00523491106084569,480
"block_area|zero",FALSE,"transit","rank","C_network",0.0276127081906926,0.0424746720897357,0.52206983502632,495
"block_area|zero",FALSE,"transit","rank","D_position_net",0.105744183718397,0.0394599870380992,0.0133780641878079,495
"block_area|zero",FALSE,"transit","rank","ACCESSxSEG",-0.0504152312872439,0.0517420008203187,0.340015898490928,495
"block_area|zero",FALSE,"transit","log1p","C_network",-0.141172336917782,0.0554529082612999,0.0171740526193531,646
"block_area|zero",FALSE,"transit","log1p","D_position_net",-0.0141655223817232,0.081646881167086,0.863604180953941,646
"block_area|zero",FALSE,"transit","log1p","ACCESSxSEG",-0.249336658371835,0.051744000691427,5.4237786180201e-05,646
"block_area|missing",FALSE,"auto","log","C_network",-0.00959083355495682,0.0116603973728274,0.418264668326879,646
"block_area|missing",FALSE,"auto","log","D_position_net",0.0688896388631353,0.0282563176254266,0.0219103692425171,646
"block_area|missing",FALSE,"auto","log","ACCESSxSEG",-0.0249250644800272,0.0111667935379605,0.0344415141994293,646
"block_area|missing",FALSE,"auto","log_wins","C_network",-0.0939162126333648,0.0115386636146978,1.27792943751532e-08,646
"block_area|missing",FALSE,"auto","log_wins","D_position_net",0.0219583067371376,0.041310139866746,0.599551874811862,646
"block_area|missing",FALSE,"auto","log_wins","ACCESSxSEG",-0.114473274855209,0.0165498480134377,2.41579462417727e-07,646
"block_area|missing",FALSE,"auto","log_trim","C_network",-0.0342896603959779,0.0201379688655204,0.100545119786305,641
"block_area|missing",FALSE,"auto","log_trim","D_position_net",-0.0110592627195421,0.0332943782078539,0.742426934055241,641
"block_area|missing",FALSE,"auto","log_trim","ACCESSxSEG",-0.0510880472361592,0.0152576049368969,0.00248795597394201,641
"block_area|missing",FALSE,"auto","rank","C_network",-0.189970172657489,0.0486549591372153,0.000599536427723125,646
"block_area|missing",FALSE,"auto","rank","D_position_net",-0.0279227483564477,0.0848511839272168,0.744732110191822,646
"block_area|missing",FALSE,"auto","rank","ACCESSxSEG",-0.266760980536693,0.0462891120633055,4.54759616861831e-06,646
"block_area|missing",FALSE,"auto","log1p","C_network",-0.00970912303710769,0.0116579463518296,0.412524144907562,646
"block_area|missing",FALSE,"auto","log1p","D_position_net",0.0688731280866151,0.02830460516883,0.0221441418209052,646
"block_area|missing",FALSE,"auto","log1p","ACCESSxSEG",-0.0250470192706921,0.0111699670440066,0.0336869076587231,646
"block_area|missing",FALSE,"transit","log","C_network",-0.151592466524676,0.0771780001590499,0.0617044369930368,495
"block_area|missing",FALSE,"transit","log","D_position_net",-0.171621768511749,0.0883832569754326,0.0645091900706957,495
"block_area|missing",FALSE,"transit","log","ACCESSxSEG",-0.169828500549623,0.0620270765058394,0.0117214510299363,495
"block_area|missing",FALSE,"transit","log_wins","C_network",-0.147478330968894,0.118870281449366,0.227236061074898,495
"block_area|missing",FALSE,"transit","log_wins","D_position_net",-0.146485437104267,0.140460647972149,0.307836279897477,495
"block_area|missing",FALSE,"transit","log_wins","ACCESSxSEG",-0.178620530602999,0.0961312336736124,0.0760032935324375,495
"block_area|missing",FALSE,"transit","log_trim","C_network",0.00702113822869177,0.0456527670297284,0.87911333957087,492
"block_area|missing",FALSE,"transit","log_trim","D_position_net",0.0335388319791828,0.0491427415236425,0.501753289920495,492
