"estimate","std.error","statistic","p.value","term","model_id","n_obs"
0.214937262845153,0.0953499460187444,2.25419385977313,0.0328366751621236,"z_d_whiteblack_rac_half","A_gap_on_resseg",641
0.0121987939942535,0.0236741523127083,0.51527901962957,0.610711695606179,"z_pct_reslow_of_res","A_gap_on_zoning",641
-0.568227115133013,0.070848770942513,-8.02028189866659,1.68684237496138e-08,"z_log_d5ar","C_network_auto_45min",643
0.147731885741132,0.0490100200025741,3.01432004584721,0.00568419770346405,"z_d_whiteblack_rac_half:z_pct_reslow_of_res","C_network_auto_45min",643
0.0100590611102813,0.0107287632212951,0.937578815265069,0.357089289239851,"z_d_whiteblack_rac_half:z_log_d5ar","C_network_auto_45min",643
-0.517369964663474,0.180315068408534,-2.86925529424576,0.00806447051434233,"z_log_d5ar","D_position_plus_auto_45min",643
0.0668889840252107,0.0378418197677615,1.76759427627197,0.0888648751023587,"z_d_whiteblack_rac_half:z_pct_reslow_of_res","D_position_plus_auto_45min",643
0.09153904316019,0.0247053164709824,3.70523661446341,0.00100354467761975,"z_d_whiteblack_rac_half:z_log_d5ar","D_position_plus_auto_45min",643
0.0695450609819598,0.0401422646604458,1.7324648115951,0.0950394008041948,"z_d_whiteblack_rac_half","ACCESSxSEG_auto_45min",643
-0.587427377237735,0.0636303213912424,-9.23187820513797,1.08985261570502e-09,"z_log_d5ar","ACCESSxSEG_auto_45min",643
-0.0040536587838901,0.0110239839729961,-0.36771268842732,0.71606399479696,"z_d_whiteblack_rac_half:z_log_d5ar","ACCESSxSEG_auto_45min",643
-0.145660831765235,0.0307932225819238,-4.73028866588132,9.11740040224504e-05,"z_log_d5br","C_network_transit_45min",498
0.09241805999724,0.0560294972894059,1.64945367115965,0.112647449325279,"z_d_whiteblack_rac_half:z_pct_reslow_of_res","C_network_transit_45min",498
-0.0589431828538289,0.022808110365876,-2.58430803377801,0.0165816195964671,"z_d_whiteblack_rac_half:z_log_d5br","C_network_transit_45min",498
-0.0562753032839694,0.0346534657953015,-1.62394444516425,0.118015019106972,"z_log_d5br","D_position_plus_transit_45min",498
0.0624590694564581,0.0349651550350276,1.78632325221746,0.0872378922474808,"z_d_whiteblack_rac_half:z_pct_reslow_of_res","D_position_plus_transit_45min",498
-0.0916835666479195,0.0245998698302833,-3.72699397518981,0.00110534724433387,"z_d_whiteblack_rac_half:z_log_d5br","D_position_plus_transit_45min",498
0.113535182396062,0.0363183008181795,3.12611492934249,0.00474437621375296,"z_d_whiteblack_rac_half","ACCESSxSEG_transit_45min",498
-0.160531790131325,0.0294914753725692,-5.44332855861935,1.5637759301586e-05,"z_log_d5br","ACCESSxSEG_transit_45min",498
-0.082889639273574,0.0251021927566039,-3.30208759359348,0.00311452073032003,"z_d_whiteblack_rac_half:z_log_d5br","ACCESSxSEG_transit_45min",498
