"estimate","std.error","statistic","p.value","term","model_id","n_obs"
1.23442619454243,0.0331125005986724,37.2797636005758,3.49216177194668e-304,"log(o_workers)","G1_baseline",427715
1.00559411271261,0.00944097871399271,106.513757013581,0,"log(d_jobs)","G1_baseline",427715
-0.691275265172987,0.047675953264212,-14.4994534528142,1.22118356667256e-47,"log_dist","G1_baseline",427715
0.00787182678299114,0.0875802254557756,0.089881325858953,0.928381520886009,"same_jur","G1_baseline",427715
1.21528839422042,0.0285283225125783,42.5993639718772,0,"log(o_workers)","G2_zoning",427715
1.04373326865663,0.0211346867139329,49.3848469477695,0,"log(d_jobs)","G2_zoning",427715
-0.720730712998059,0.0460914865775792,-15.6369595887292,4.07736160508025e-55,"log_dist","G2_zoning",427715
0.036408068050598,0.078695817032796,0.462642989466965,0.643620288937453,"same_jur","G2_zoning",427715
0.113893494530481,0.0162348049699316,7.01539037527233,2.29307800095987e-12,"z_o_excl","G2_zoning",427715
-0.0163574557415314,0.0195595717636553,-0.836289052704415,0.402992310266626,"z_o_ent","G2_zoning",427715
-0.0587499456164773,0.0285945725531489,-2.05458380282756,0.039919221435465,"z_d_jobz","G2_zoning",427715
1.21355771031628,0.0275308514797321,44.0799192574804,0,"log(o_workers)","G3_interdependence",427715
1.0440142972146,0.0213978794445285,48.7905495458594,0,"log(d_jobs)","G3_interdependence",427715
-0.718384056233365,0.0472740785952244,-15.1961514127943,3.75015760177778e-52,"log_dist","G3_interdependence",427715
0.0338367583424338,0.0771915942260775,0.438347707178235,0.661134247623081,"same_jur","G3_interdependence",427715
0.129773648204126,0.0188451219507186,6.88632573158683,5.72518179046495e-12,"z_o_excl","G3_interdependence",427715
0.0854782579396506,0.0407647832545403,2.09686526249665,0.0360055043598175,"z_o_ent","G3_interdependence",427715
-0.0582893328693778,0.0266107225965977,-2.19044532360163,0.0284919560338973,"z_d_jobz","G3_interdependence",427715
-0.0198427009967455,0.0065427835196761,-3.0327613525761,0.0024232715675817,"z_o_excl:z_d_jobz","G3_interdependence",427715
