"terc_excl","terc_jobz","flow","share","obs_over_exp","mean_dist_km"
1,1,21516,0.0189569618111846,0.775434307434804,18.646621837575
1,2,73637,0.0648788713929261,0.886909820915575,13.9835368920866
1,3,258896,0.228103810423333,1.06420914320042,12.8485854122106
2,1,29546,0.0260319015464426,0.936852846833812,17.0120847680182
2,2,99809,0.0879380647616899,1.05765077716339,14.0747785250315
2,3,273060,0.240583193537928,0.987526918401256,15.7303878157747
3,1,37888,0.0333817330871055,1.2771753226403,15.764919358686
3,2,92716,0.0816886815061252,1.04448793041058,18.2518857211667
3,3,247924,0.218436781933265,0.953203388363855,20.1873858009945
