"panel","n_origin_tracts","commuters","pct_to_top_quintile_dest","flow_weighted_dest_D"
"A. Least-segregated decile of neighborhoods",66,115073,6.29252735220251,0.0210873756804747
"B. Most-segregated decile of neighborhoods",66,106691,13.9880589740465,0.0338215046219908
