"statistic","value"
"n_jurisdictions","27"
"cor_pearson","-0.250335914425048"
"cor_spearman","-0.335164835164835"
"n_job_rich","13"
"cor_restrictive_imported_jobrich","0.128693670730917"
"weighted_slope","-0.0135616233988544"
"weighted_slope_p","0.00124927066146679"
