"access_z","slope","se","lo","hi","mode","n_obs"
-1.73851004919714,0.0765923875137689,0.0426780084878929,-0.00705650912250115,0.160241284150039,"auto (45-min network jobs)",643
-1.67334391503225,0.0763282262415993,0.0424298042602024,-0.00683419010839736,0.159490642591596,"auto (45-min network jobs)",643
-1.60817778086737,0.0760640649694296,0.0421923730099722,-0.00663298613011594,0.158761116068975,"auto (45-min network jobs)",643
-1.54301164670248,0.07579990369726,0.0419658975890341,-0.00645325557724685,0.158053062971767,"auto (45-min network jobs)",643
-1.4778455125376,0.0755357424250904,0.0417505562870853,-0.00629534789759692,0.157366832747778,"auto (45-min network jobs)",643
-1.41267937837271,0.0752715811529207,0.0415465222334672,-0.00615960242467495,0.156702764730516,"auto (45-min network jobs)",643
-1.34751324420783,0.0750074198807511,0.0413539627931593,-0.00604634719384109,0.156061186955343,"auto (45-min network jobs)",643
-1.28234711004294,0.0747432586085814,0.0411730389610378,-0.00595589775505269,0.155442414972216,"auto (45-min network jobs)",643
-1.21718097587806,0.0744790973364118,0.0410039047587348,-0.00588855599070838,0.154846750663532,"auto (45-min network jobs)",643
-1.15201484171317,0.0742149360642421,0.0408467066386847,-0.00584460894757979,0.154274481076064,"auto (45-min network jobs)",643
-1.08684870754829,0.0739507747920725,0.0407015829001435,-0.00582432769220882,0.153725877276354,"auto (45-min network jobs)",643
-1.0216825733834,0.0736866135199028,0.0405686631221053,-0.0058279661994235,0.153201193239229,"auto (45-min network jobs)",643
-0.956516439218517,0.0734224522477332,0.0404480676181148,-0.00585576028377191,0.152700664779238,"auto (45-min network jobs)",643
-0.891350305053632,0.0731582909755635,0.0403399069179818,-0.00590792658368078,0.152224508534808,"auto (45-min network jobs)",643
-0.826184170888747,0.0728941297033939,0.0402442812813249,-0.00598466160800291,0.151772921014791,"auto (45-min network jobs)",643
-0.761018036723862,0.0726299684312242,0.0401612802477271,-0.00608614085432096,0.151346077716769,"auto (45-min network jobs)",643
-0.695851902558977,0.0723658071590546,0.0400909822280482,-0.00621251800791989,0.150944132326029,"auto (45-min network jobs)",643
-0.630685768394092,0.072101645886885,0.0400334541411304,-0.00636392422973071,0.150567216003501,"auto (45-min network jobs)",643
-0.565519634229207,0.0718374846147153,0.0399887510997459,-0.00654046754078665,0.150215436770217,"auto (45-min network jobs)",643
-0.500353500064322,0.0715733233425457,0.0399569161491722,-0.00674223230983192,0.149888878994923,"auto (45-min network jobs)",643
-0.435187365899437,0.071309162070376,0.0399379800612606,-0.00696927884969482,0.149587602990447,"auto (45-min network jobs)",643
-0.370021231734551,0.0710450007982064,0.0399319611862783,-0.00722164312689919,0.149311644723312,"auto (45-min network jobs)",643
-0.304855097569666,0.0707808395260367,0.0399388653641831,-0.00749933658776222,0.149061015639836,"auto (45-min network jobs)",643
-0.239688963404781,0.0705166782538671,0.0399586858963276,-0.00780234610293505,0.148835702610669,"auto (45-min network jobs)",643
-0.174522829239896,0.0702525169816974,0.039991403577913,-0.00813063403101209,0.148635667994407,"auto (45-min network jobs)",643
-0.109356695075011,0.0699883557095278,0.040036986790826,-0.00848413840049117,0.148460849819547,"auto (45-min network jobs)",643
-0.0441905609101259,0.0697241944373581,0.0400953916558144,-0.00886277320803815,0.148311162082754,"auto (45-min network jobs)",643
0.0209755732547592,0.0694600331651885,0.0401665622423011,-0.0092664288297217,0.148186495160099,"auto (45-min network jobs)",643
0.0861417074196444,0.0691958718930188,0.0402504308335111,-0.009694972540663,0.148086716326701,"auto (45-min network jobs)",643
0.151307841584529,0.0689317106208492,0.0403469182440121,-0.0101482491374145,0.148011670379113,"auto (45-min network jobs)",643
0.216473975749415,0.0686675493486795,0.0404559341862457,-0.0106260816563621,0.147961180353721,"auto (45-min network jobs)",643
0.2816401099143,0.0684033880765099,0.0405773776821743,-0.0111282721805517,0.147935048333571,"auto (45-min network jobs)",643
0.346806244079185,0.0681392268043402,0.0407111375157819,-0.0116546027265922,0.147933056335273,"auto (45-min network jobs)",643
