"mode","spec","n_obs","estimate","p.value","loo_min","loo_max","sign_changes_under_one_deletion","most_influential_tract","estimate_without_it","p_without_it"
"auto","C_network",646,0.00206588635593036,0.836307748515406,-0.0585119626534895,0.00694892701718997,TRUE,"08035014300",-0.0585119626534895,0.0345472573416423
"auto","D_position_net",646,0.076692511696532,0.00608804282850945,0.0407632857543141,0.103792174130176,FALSE,"08035014300",0.0407632857543141,0.353514442933795
"auto","ACCESSxSEG",646,-0.0125972657788747,0.244265968425639,-0.075746623325111,-0.00701706095921972,FALSE,"08035014300",-0.075746623325111,0.00444676339388026
"transit","C_network",488,-0.103808224389945,0.253925593836561,-0.119449113530376,0.10105417203637,TRUE,"08059009846",0.10105417203637,0.00288393641590644
"transit","D_position_net",488,-0.126160699426414,0.229003027621902,-0.159416595882664,0.0519762866451204,TRUE,"08059009846",0.0519762866451204,0.205304490410958
"transit","ACCESSxSEG",488,-0.11281117189358,0.21072013201861,-0.122477558312925,0.0946767527355395,TRUE,"08059009846",0.0946767527355395,0.00513960161970017
