"spec","n_obs","estimate","p.value","loo_min","loo_max","loo_max_p","n_deletions_p_ge_05","most_influential_tract","estimate_without_it","p_without_it","est_resseg_wins99","p_resseg_wins99","est_resseg_rank","p_resseg_rank"
"A_total",646,0.333207567186429,3.15901067444759e-05,0.313004847683988,0.352515345116552,9.58608885993058e-05,0,"08005007101",0.313004847683988,3.1778051545155e-06,0.324981910269513,4.58679211999216e-05,0.155666980113641,0.00241370037284147
"B_plus_regional_position",646,0.102464881345509,0.0381513698705084,0.0905298392462022,0.133047414104281,0.0916846518573941,7,"08059012036",0.133047414104281,0.0609490154669881,0.0817937771683588,0.0682179677350025,0.0312217869676325,0.387766599899593
