"group","workers","actual_km","minimum_km","excess_km","excess_pct"
"all",1340294,16.0834637180765,3.91603106204788,12.1674326560286,75.6518177260126
"low_earnings",140070,14.9671524173488,3.07945707242733,11.8876953449214,79.4252307549307
"high_earnings",949360,16.5274506397606,4.33135089965845,12.1960997401021,73.7929884404653
