"stat","value","z","p"
"morans_I_knn8",0.29449526520201,16.0973433053386,2.66295509209424e-58
"morans_I_invdist10km",0.260957618233229,28.1648076303722,1.57852438979946e-174
"interaction_jurisdiction_cluster",0.103085668657191,NA,0.0346570330617904
"interaction_conley_10km",0.103085668657193,2.0388622636493,0.0414637760550048
"interaction_conley_20km",0.103085668657193,1.97900711378312,0.0478152053365317
"interaction_conley_50km",0.103085668657193,2.7678854454729,0.00564212835931162
