"jurisd_main","n_tracts","workers_housed","jobs_hosted","lowwage_jobs","jobs_per_worker","mean_pct_reslow","pct_residents_retained","pct_jobs_filled_locally","pct_lowwage_jobs_imported"
"DENVER",178,342003,523496,44274,1.53067663149154,44.106676266925,51.5646244800532,37.3196813124601,60.7383929095498
"AURORA",82,169787,157033,17460,0.924882352594722,52.0113525580058,25.4979152396976,31.2700315611773,63.8878696705071
"DouglasCo_Unincorporated",55,133457,90074,10190,0.674929003349393,87.4614603049057,18.2525191628628,29.795998706539,62.4738461538462
"JeffCo",54,100162,81625,9372,0.814929813701803,87.5705269334283,21.3363525352998,27.6370951642378,61.6518390651972
"Lakewood",41,77904,72705,8521,0.933264017252002,61.0158360668981,17.1075572656767,20.1919494757757,75.5304533658983
"ARAPAHOE",28,58059,60674,5806,1.04504038994816,60.2603141323286,9.84337865742003,10.6235808594736,87.9142730888202
"AdamsCo_Unincorporated",28,54308,59325,6754,1.09238049642778,81.7336458391102,13.4184500833657,13.9920929789464,85.4393842206543
"GREENWOOD VILLAGE",6,7426,58110,3791,7.8252087260975,66.7603167465484,12.1631907444055,1.72309682984688,97.4253347064882
"WESTMINSTER",24,57528,45100,5786,0.783966068696982,63.7725248844847,11.8285753720871,16.6774779449922,81.6160118606375
"CENTENNIAL",17,33659,40318,4267,1.1978371312279,80.0137471553224,8.86319845857418,8.3259240442017,87.4162096282754
"Broomfield",23,37567,38768,4271,1.03196954774137,31.6421086717051,17.6527800291781,17.1827541319869,75.036443148688
"THORNTON",26,67278,35154,5645,0.522518505306341,71.8180706261784,12.3530519969857,26.9902033423891,70.3002775674994
"ENGLEWOOD",12,19083,31077,3164,1.62851752869046,57.0618163652619,10.6047012381123,7.03125,91.843137254902
"LITTLETON",13,21765,28861,2962,1.32602802664829,62.305534288592,12.5877055189025,10.0191714595315,85.685237901586
"COMMERCE CITY",4,8755,24666,1834,2.81736150770988,72.7144226945147,10.2425502425502,4.33075480543835,93.75
"Arvada",20,41081,19405,3018,0.472359484920036,80.1930963829826,8.91177101529221,20.0427320973189,74.3556138051551
"Wheat Ridge",7,16302,18852,2372,1.15642252484358,46.2972923367555,8.14194695510446,7.59082746235668,90.217998882057
"Castle Rock",5,20229,16811,2310,0.831034653220624,86.0943204404412,16.2132501588402,20.3037974683544,75.2154080081095
"Parker",8,24228,15496,2733,0.639590556381047,82.6105654848373,8.17634120684709,14.7337584008272,82.1709006928406
"Golden",4,5630,13064,1298,2.32042628774423,64.2365726875073,9.8456030431864,4.33796707088633,92.4273858921162
"Lone Tree",2,5355,11121,1961,2.07675070028011,85.9339664572132,6.17602754465246,3.26173428798727,97.0867637745408
"GLENDALE",2,2503,10063,1030,4.02037554934079,0.020834036328959,3.99290150842946,1.13221788904265,99.2490613266583
"BRIGHTON",6,12831,7162,940,0.558179409243239,80.4442296630036,7.60050251256281,17.5150784077201,77.5800711743772
"NORTHGLENN",4,11366,5604,787,0.493049445715291,59.0362763387665,3.88349514563107,8.70886075949367,91.8772563176895
"FEDERAL HEIGHTS",3,4200,2641,421,0.628809523809524,20.3700041205466,1.87537810042347,3.30490405117271,96.5408805031446
"Castle Pines",2,5618,1911,314,0.340156639373442,98.5137038107401,5.69089048106448,18.745785569791,80.8333333333333
"CHERRY HILLS VILLAGE",2,2210,1471,182,0.665610859728507,99.936761123287,5.88853838065195,8.83977900552486,95.4838709677419
