"bin","n","jh_ratio_10km","wexp","res_seg","commute_km","dist_cbd_km"
1,132,0.54653364245638,0.0295684068276989,0.0535265745729912,22.8765602072554,28.7671705227113
2,131,0.814217291409434,0.0242611011942064,0.0323865909922626,16.7740682409905,18.3771996300936
3,131,1.12112260735449,0.0236007832096467,0.02545882378204,15.076825859489,16.619769288847
4,131,1.42612888061635,0.0209522099936975,0.0261411772231735,12.8920488108476,10.8803732176248
5,131,1.63434317025601,0.0194780202807177,0.0253313749957332,11.9823028785147,9.89633952563293
