"year","r_resseg_wexp"
2011,0.572872580955722
2012,0.598455858488461
2013,0.63641674755918
2014,0.627190139824197
2015,0.643634944598173
2016,0.600154874250518
2017,0.658967703532832
2018,0.674838297078903
2019,0.566949105264471
2020,0.600901970055791
2021,0.633305702242316
2022,0.63845611392881
2023,0.672000351701971
