"block","direction","sig","n"
"ZA","neg",FALSE,92
"ZA","neg",TRUE,57
"ZA","pos",FALSE,67
"ZA","pos",TRUE,22
"ZB","neg",FALSE,86
"ZB","neg",TRUE,95
"ZB","pos",FALSE,92
"ZB","pos",TRUE,80
"ZC","neg",FALSE,11
"ZC","neg",TRUE,5
"ZC","pos",FALSE,7
"ZC","pos",TRUE,6
"ZD","neg",FALSE,15
"ZD","neg",TRUE,9
"ZD","pos",FALSE,20
"ZD","pos",TRUE,10
"ZM","neg",FALSE,14
"ZM","neg",TRUE,19
"ZM","pos",FALSE,15
"ZM","pos",TRUE,12
