"year","group","workers","mean_dist","pct_gt24km","eff_n_dest","wexp","dest_earn_entropy"
2011,"age_30_54",651067,15.7321303485003,18.9492018486577,68.960674478143,0.0315576555082213,0.868697037255692
2011,"age_55p",211935,15.1752213849193,17.6997664378229,51.628520324673,0.0324843155279623,0.873256449135737
2011,"age_u30",237642,14.745981971563,16.9511281675798,71.1139286603608,0.0311126214532803,0.892514364554956
2011,"all",1100644,15.4119734460062,18.2772086160466,77.7026828138368,0.0316393648566741,0.874717418278846
2011,"earn_high",520243,16.3565124226057,20.2438091430351,54.776075065034,0.0284969549802088,0.84552061181322
2011,"earn_low",192534,14.2001280141994,16.3960651105779,55.711352561721,0.0363450246261791,0.917529696878264
2011,"earn_mid",387867,14.7466207801813,16.5732067951128,77.0095240185323,0.0335280979129574,0.892627204206074
2011,"ind_goods",128895,16.4052310844907,20.8247022770472,31.3080537160835,0.043245805006343,0.861184436004962
2011,"ind_services",773996,14.7447459880385,16.4604209840878,58.6954112159373,0.0285112881932449,0.868381701340865
2011,"ind_tradetrans",197753,17.3760672410168,23.7275793540427,57.3156638620464,0.0363287299823179,0.908335888377014
2012,"age_30_54",668657,15.7362866842841,18.8326750486423,68.9088187364666,0.0304937051749673,0.863286974548171
2012,"age_55p",228668,15.2683583960374,17.8564556474889,52.2069377951547,0.0315948849160052,0.866011524130205
2012,"age_u30",236936,14.6902776991835,16.746716412871,70.7055044443066,0.0301410768113744,0.891031278992036
2012,"all",1134261,15.4234509165811,18.2001320683687,77.2898589068425,0.0306422221364945,0.869631759233122
2012,"earn_high",548484,16.3923125850734,20.3276668052304,55.2980243938289,0.0281081954465438,0.835878527623716
2012,"earn_low",198679,14.1710559517469,15.9760216228187,57.601238178012,0.033963623270784,0.917642150560581
2012,"earn_mid",387098,14.6934534891518,16.3271316307498,74.8492720361281,0.0325494535968034,0.892815684098414
2012,"ind_goods",138693,16.5800558993197,21.2411585299907,29.6588648701646,0.040911470360601,0.832224734540326
2012,"ind_services",789561,14.7383854876163,16.3602305585002,58.7667305233412,0.0277635584989606,0.866240893330609
2012,"ind_tradetrans",206007,17.2704169434051,23.2045513016548,57.5819282168382,0.0347688113187236,0.907811956743748
2013,"age_30_54",671797,15.8047886604836,19.1478973558977,71.553576571362,0.0295128230673811,0.861890470612441
2013,"age_55p",238608,15.4334337653049,18.3682022396567,55.5115320991468,0.0306225294017604,0.864214408207765
2013,"age_u30",239067,14.8432168374474,17.2771649788553,72.9904647481586,0.0287682729765366,0.890974129661989
2013,"all",1149472,15.527715065088,18.5969732190084,80.4560060416621,0.0295886751067548,0.868421689484883
2013,"earn_high",565762,16.467761015789,20.6445466468232,57.5443709343577,0.0274762144917815,0.834904091038151
2013,"earn_low",199312,14.3066386869555,16.6201733964839,60.311467996295,0.0323666743738034,0.917726415946645
